Data da venda;Estado;Tarifa de venda e impostos (BRL);Tarifas de envio (BRL);Custo de envio com base nas medidas e peso declarados;Custo por diferenças nas medidas e no peso do pacote;Cancelamentos e reembolsos (BRL);Total (BRL);SKU
23 de janeiro de 2026 11:23 hs.;A caminho;-15,83;;;;;63,16;1-ALLEGRA-PT
23 de janeiro de 2026 11:13 hs.;A caminho;-15,83;;;;;63,16;1-ALLEGRA-PT
23 de janeiro de 2026 11:09 hs.;A caminho;-41,63;-28,45;-28,45;;;291,92;4-GRUVYER-PT
23 de janeiro de 2026 10:57 hs.;Para entregar na coleta do dia 13 de fevereiro;-31,66;;;;;126,32;1-ALLEGRA-PT
23 de janeiro de 2026 10:53 hs.;Entregue;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
23 de janeiro de 2026 10:51 hs.;A caminho;-38,52;-28,45;-28,45;;;268,03;4-ALLEGRA-PT
23 de janeiro de 2026 10:50 hs.;Para entregar na coleta do dia 9 de fevereiro;-31,66;;;;;126,32;1-ALLEGRA-PT
23 de janeiro de 2026 10:40 hs.;A caminho;-11,84;-16,41;-16,41;;;74,75;1-ALLEGRA-PT
23 de janeiro de 2026 10:34 hs.;Para entregar na coleta do dia 29 de janeiro;-15,83;;;;;63,16;1-ALLEGRA-PT
23 de janeiro de 2026 10:34 hs.;A caminho;-41,63;-28,45;-28,45;;;291,92;4-GRUVYER-PT
23 de janeiro de 2026 10:30 hs.;Etiqueta pronta para imprimir;-15,83;;;;;63,16;1-ALLEGRA-PT
23 de janeiro de 2026 10:13 hs.;Para entregar na coleta do dia 11 de fevereiro;-37,03;-28,45;-28,45;;;274,14;4-ALLEGRA-PT
23 de janeiro de 2026 10:13 hs.;Para entregar na coleta do dia 30 de janeiro;-41,63;-28,45;-28,45;;;291,92;4-GRUVYER-PT
23 de janeiro de 2026 10:11 hs.;Etiqueta pronta para imprimir;-39,68;-26,95;-26,95;;;278,37;4-CHIFRE-PT
23 de janeiro de 2026 10:08 hs.;A caminho;-61,64;-44,45;-44,45;;;429,91;6-ALLEGRA-PT
23 de janeiro de 2026 10:05 hs.;A caminho;-87,01;-28,45;-28,45;;;671,11;10-ALLEGRA-PT
23 de janeiro de 2026 10:05 hs.;Para entregar na coleta do dia 18 de fevereiro;-47,49;;;;;189,48;1-ALLEGRA-PT
23 de janeiro de 2026 09:57 hs.;Etiqueta pronta para imprimir;-23,68;-32,83;-32,83;;;149,49;1-ALLEGRA-PT
23 de janeiro de 2026 09:55 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
23 de janeiro de 2026 09:35 hs.;Pronto para coleta. Está atrasado 1 dia e isso não afetou sua reputação;-77,04;-44,45;-44,45;;;548,41;6-ALLEGRA-ND
23 de janeiro de 2026 09:20 hs.;Para entregar na coleta do dia 5 de fevereiro;-15,83;;;;;63,16;1-ALLEGRA-PT
23 de janeiro de 2026 09:15 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
23 de janeiro de 2026 09:03 hs.;A caminho;-46,46;-49,9;-49,9;;;307,68;2-GRUVYER-PT
23 de janeiro de 2026 09:02 hs.;A caminho;-38,52;-28,45;-28,45;;;268,03;4-ALLEGRA-PT
23 de janeiro de 2026 08:05 hs.;Para entregar na coleta de amanhã;-83,26;-56,9;-56,9;;;583,84;4-GRUVYER-PT
23 de janeiro de 2026 07:36 hs.;A caminho;-23,58;-24,95;-24,95;;;156,47;2-GRUVYER-PT
23 de janeiro de 2026 07:31 hs.;Para entregar na coleta do dia 3 de fevereiro;-31,66;;;;;126,32;1-ALLEGRA-PT
23 de janeiro de 2026 07:25 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
23 de janeiro de 2026 07:22 hs.;A caminho;-21,43;-22,45;-22,45;;;142,47;2-GRUVYER-PT
23 de janeiro de 2026 06:58 hs.;Cancelada pelo comprador;-41,63;-28,45;-28,45;;-291,92;0;4-GRUVYER-PT
23 de janeiro de 2026 06:49 hs.;A caminho;-23,62;-32,83;-32,83;;;148,93;1-ALLEGRA-PT
23 de janeiro de 2026 05:50 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
23 de janeiro de 2026 05:11 hs.;A caminho;-38,64;-28,45;-28,45;;;268,91;4-ALLEGRA-PT
23 de janeiro de 2026 02:12 hs.;A caminho;-15,83;;;;;63,16;1-ALLEGRA-PT
23 de janeiro de 2026 01:53 hs.;A caminho;-41,63;-28,45;-28,45;;;291,92;4-GRUVYER-PT
23 de janeiro de 2026 00:49 hs.;Para entregar na coleta do dia 6 de fevereiro;-38,52;-54,44;-54,44;;;268,03;4-ALLEGRA-PT
23 de janeiro de 2026 00:38 hs.;A caminho;-75,9;-44,45;-44,45;;;539,65;8-ALLEGRA-PT
23 de janeiro de 2026 00:15 hs.;Etiqueta pronta para imprimir;-85,78;-28,45;-28,45;;;674,9;10-ALLEGRA-PT
22 de janeiro de 2026 23:51 hs.;A caminho;-15,83;;;;;63,16;1-ALLEGRA-PT
22 de janeiro de 2026 23:48 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
22 de janeiro de 2026 23:30 hs.;A caminho;-85,78;-28,45;-28,45;;;674,9;10-ALLEGRA-PT
22 de janeiro de 2026 23:26 hs.;A caminho;-66,7;-28,45;-28,45;;;484,81;8-CHIFRE-PT
22 de janeiro de 2026 23:12 hs.;Para entregar na coleta do dia 2 de fevereiro;-31,66;;;;;126,32;1-ALLEGRA-PT
22 de janeiro de 2026 23:10 hs.;Para entregar na coleta do dia 3 de fevereiro;-87,01;-28,45;-28,45;;;671,11;10-ALLEGRA-PT
22 de janeiro de 2026 23:02 hs.;A caminho;-59,92;-44,45;-44,45;;;416,63;6-ALLEGRA-PT
22 de janeiro de 2026 23:01 hs.;A caminho;-38,52;-28,45;-28,45;;;268,03;4-ALLEGRA-PT
22 de janeiro de 2026 22:57 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
22 de janeiro de 2026 22:47 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
22 de janeiro de 2026 22:47 hs.;A caminho;-41,63;-28,45;-28,45;;;291,92;4-GRUVYER-PT
22 de janeiro de 2026 22:43 hs.;Para entregar na coleta do dia 30 de janeiro;-41,63;-28,45;-28,45;;;291,92;4-GRUVYER-PT
22 de janeiro de 2026 22:41 hs.;Para entregar na coleta do dia 29 de janeiro;-75,9;-44,45;-44,45;;;539,65;8-ALLEGRA-PT
22 de janeiro de 2026 22:40 hs.;A caminho;-27,37;-24,95;-24,95;;;185,68;2-ALLEGRA-PT
22 de janeiro de 2026 22:32 hs.;Cancelada pelo comprador;-55,66;-28,45;-28,45;;-414,89;0;4-ALLEGRA-ND
22 de janeiro de 2026 22:27 hs.;A caminho;-48,07;-35,94;-35,94;;;368,04;4-ALLEGRA-ND
22 de janeiro de 2026 22:23 hs.;Para entregar na coleta de amanhã;-15,83;;;;;63,16;1-ALLEGRA-PT
22 de janeiro de 2026 21:55 hs.;A caminho;-85,78;-28,45;-28,45;;;674,9;10-ALLEGRA-PT
22 de janeiro de 2026 21:52 hs.;Para entregar na coleta do dia 2 de fevereiro;-75,9;-44,45;-44,45;;;539,65;8-ALLEGRA-PT
22 de janeiro de 2026 21:45 hs.;A caminho;-38,52;-28,45;-28,45;;;268,03;4-ALLEGRA-PT
22 de janeiro de 2026 21:38 hs.;A caminho;-38,52;-28,45;-28,45;;;268,03;4-ALLEGRA-PT
22 de janeiro de 2026 21:37 hs.;Etiqueta pronta para imprimir;-94,98;;;;;378,96;1-ALLEGRA-PT
22 de janeiro de 2026 21:16 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
22 de janeiro de 2026 21:11 hs.;Para entregar na coleta do dia 29 de janeiro;-31,66;;;;;126,32;1-ALLEGRA-PT
22 de janeiro de 2026 21:06 hs.;Para entregar na coleta do dia 18 de fevereiro;-31,66;;;;;126,32;1-ALLEGRA-PT
22 de janeiro de 2026 21:04 hs.;Para entregar na coleta do dia 29 de janeiro;-15,83;;;;;63,16;1-ALLEGRA-PT
22 de janeiro de 2026 21:03 hs.;Etiqueta pronta para imprimir;-15,83;;;;;63,16;1-ALLEGRA-PT
22 de janeiro de 2026 20:49 hs.;A caminho;-38,52;-28,45;-28,45;;;268,03;4-ALLEGRA-PT
22 de janeiro de 2026 20:49 hs.;A caminho;-38,64;-28,45;-28,45;;;268,91;4-ALLEGRA-PT
22 de janeiro de 2026 20:47 hs.;Etiqueta pronta para imprimir;-15,83;;;;;63,16;1-ALLEGRA-PT
22 de janeiro de 2026 20:46 hs.;Para entregar na coleta do dia 30 de janeiro;-11,81;-16,41;-16,41;;;74,47;1-ALLEGRA-PT
22 de janeiro de 2026 20:35 hs.;Etiqueta pronta para imprimir;-31,66;;;;;126,32;1-ALLEGRA-PT
22 de janeiro de 2026 20:27 hs.;A caminho;-15,83;;;;;63,16;1-ALLEGRA-PT
22 de janeiro de 2026 20:25 hs.;A caminho;-15,83;;;;;63,16;1-ALLEGRA-PT
22 de janeiro de 2026 20:21 hs.;Entregue;-41,63;-28,45;-28,45;;;291,92;4-GRUVYER-PT
22 de janeiro de 2026 20:19 hs.;A caminho;-47,36;-65,66;-65,66;;;298,94;1-ALLEGRA-PT
22 de janeiro de 2026 20:16 hs.;A caminho;-75,9;-44,45;-44,45;;;539,65;8-ALLEGRA-PT
22 de janeiro de 2026 20:11 hs.;Para entregar na coleta do dia 30 de janeiro;-15,83;;;;;63,16;1-ALLEGRA-PT
22 de janeiro de 2026 20:07 hs.;A caminho;-22,41;-22,45;-22,45;;;150,04;2-ALLEGRA-PT
22 de janeiro de 2026 20:01 hs.;Para entregar na coleta do dia 29 de janeiro;-73,56;-53,9;-53,9;;;536,08;4-ALLEGRA-PT
22 de janeiro de 2026 20:00 hs.;A caminho;-41,63;-28,45;-28,45;;;291,92;4-GRUVYER-PT
22 de janeiro de 2026 19:54 hs.;Para entregar na coleta do dia 2 de fevereiro;-31,66;-3,99;-3,99;;;126,32;1-ALLEGRA-PT
22 de janeiro de 2026 19:38 hs.;Para entregar na coleta do dia 30 de janeiro;-87,01;-28,45;-28,45;;;671,11;10-ALLEGRA-PT
22 de janeiro de 2026 19:37 hs.;Para entregar na coleta do dia 2 de fevereiro;-94,98;;;;;378,96;1-ALLEGRA-PT
22 de janeiro de 2026 19:25 hs.;A caminho;-66,7;-28,45;-28,45;;;484,81;8-CHIFRE-PT
22 de janeiro de 2026 19:08 hs.;Para entregar na coleta do dia 3 de fevereiro;-38,52;-28,45;-28,45;;;268,03;4-ALLEGRA-PT
22 de janeiro de 2026 19:01 hs.;A caminho;-10,54;-14,07;-14,07;;;67,74;1-ALLEGRA-PT
22 de janeiro de 2026 18:48 hs.;Para entregar na coleta do dia 29 de janeiro;-37,03;-28,45;-28,45;;;274,14;4-ALLEGRA-PT
22 de janeiro de 2026 18:37 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
22 de janeiro de 2026 18:29 hs.;A caminho;-50,55;-26,95;-26,95;;;362,08;4-ALLEGRA-PT
22 de janeiro de 2026 18:25 hs.;A caminho;-55,66;-28,45;-28,45;;;414,89;4-ALLEGRA-ND
22 de janeiro de 2026 18:24 hs.;Para entregar na coleta do dia 6 de fevereiro;-38,52;-28,45;-28,45;;;268,03;4-ALLEGRA-PT
22 de janeiro de 2026 18:16 hs.;A caminho;-15,83;-25,99;-25,99;;;63,16;1-ALLEGRA-PT
22 de janeiro de 2026 18:12 hs.;A caminho;-87,01;-28,45;-28,45;;;671,11;10-ALLEGRA-PT
22 de janeiro de 2026 18:06 hs.;Para entregar na coleta do dia 19 de fevereiro;-37,03;-28,45;-28,45;;;274,14;4-ALLEGRA-PT
22 de janeiro de 2026 18:05 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
22 de janeiro de 2026 17:58 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
22 de janeiro de 2026 17:40 hs.;Cancelada pelo comprador;-15,83;;;;-63,16;0;1-ALLEGRA-PT
22 de janeiro de 2026 17:18 hs.;A caminho;-55,66;-28,45;-28,45;;;414,89;4-ALLEGRA-ND
22 de janeiro de 2026 17:15 hs.;Para entregar na coleta de amanhã;-38,52;-28,45;-28,45;;;268,03;4-ALLEGRA-PT
22 de janeiro de 2026 17:05 hs.;Etiqueta pronta para imprimir;-12,22;;;;;37,54;1-MARMITA-001
22 de janeiro de 2026 16:53 hs.;Para entregar na coleta do dia 29 de janeiro;-31,66;-9,99;-9,99;;;126,32;1-ALLEGRA-PT
22 de janeiro de 2026 16:49 hs.;Etiqueta pronta para imprimir;-47,49;;;;;189,48;1-ALLEGRA-PT
22 de janeiro de 2026 16:45 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
22 de janeiro de 2026 16:27 hs.;Para entregar na coleta do dia 3 de fevereiro;-15,83;;;;;63,16;1-ALLEGRA-PT
22 de janeiro de 2026 16:20 hs.;A caminho;-23,62;-32,83;-32,83;;;148,93;1-ALLEGRA-PT
22 de janeiro de 2026 16:09 hs.;Para entregar na coleta do dia 30 de janeiro;-57,5;-44,45;-44,45;;;398,04;6-ALLEGRA-PT
22 de janeiro de 2026 15:58 hs.;A caminho;-11,39;;;;;31,25;5M-NAPA-BR
22 de janeiro de 2026 15:57 hs.;A caminho;-74,52;-53,9;-53,9;;;519,58;4-ALLEGRA-PT
22 de janeiro de 2026 15:54 hs.;A caminho;-88,44;-28,45;-28,45;;;652,11;10-ALLEGRA-PT
22 de janeiro de 2026 15:52 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
22 de janeiro de 2026 15:36 hs.;A caminho;-15,83;;;;;63,16;1-ALLEGRA-PT
22 de janeiro de 2026 15:35 hs.;Etiqueta pronta para imprimir;-15,83;;;;;63,16;1-ALLEGRA-PT
22 de janeiro de 2026 15:26 hs.;Etiqueta pronta para imprimir;-15,83;;;;;63,16;1-ALLEGRA-PT
22 de janeiro de 2026 15:17 hs.;Etiqueta pronta para imprimir;-31,66;;;;;126,32;1-ALLEGRA-PT
22 de janeiro de 2026 15:11 hs.;A caminho;-38,52;-28,45;-28,45;;;268,03;4-ALLEGRA-PT
22 de janeiro de 2026 15:06 hs.;A caminho;-75,9;-44,45;-44,45;;;539,65;8-ALLEGRA-PT
22 de janeiro de 2026 14:56 hs.;A caminho;-87,01;-28,45;-28,45;;;671,11;10-ALLEGRA-PT
22 de janeiro de 2026 14:56 hs.;Para entregar na coleta do dia 30 de janeiro;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
22 de janeiro de 2026 14:49 hs.;Etiqueta pronta para imprimir;-63,32;;;;;252,64;1-ALLEGRA-PT
22 de janeiro de 2026 14:45 hs.;Cancelada pelo comprador;-31,66;;;;-126,32;0;1-ALLEGRA-PT
22 de janeiro de 2026 14:42 hs.;A caminho;-38,52;-28,45;-28,45;;;268,03;4-ALLEGRA-PT
22 de janeiro de 2026 14:38 hs.;Para entregar na coleta do dia 29 de janeiro;-38,52;-28,45;-28,45;;;268,03;4-ALLEGRA-PT
22 de janeiro de 2026 14:37 hs.;Venda cancelada. Não envie.;-75,9;-65,44;-65,44;;-539,65;0;8-ALLEGRA-PT
22 de janeiro de 2026 14:31 hs.;Para entregar na coleta do dia 30 de janeiro;-38,52;-28,45;-28,45;;;268,03;4-ALLEGRA-PT
22 de janeiro de 2026 14:22 hs.;Para entregar na coleta do dia 29 de janeiro;-57,38;-28,45;-28,45;;;413,17;4-ALLEGRA-ND
22 de janeiro de 2026 14:13 hs.;A caminho;-38,52;-28,45;-28,45;;;268,03;4-ALLEGRA-PT
22 de janeiro de 2026 14:11 hs.;A caminho;-38,52;-28,45;-28,45;;;268,03;4-ALLEGRA-PT
22 de janeiro de 2026 14:11 hs.;A caminho;-26,39;-26,95;-26,95;;;176,16;3-CHIFRE-PT
22 de janeiro de 2026 14:02 hs.;Para entregar na coleta do dia 2 de fevereiro;-31,66;;;;;126,32;1-ALLEGRA-PT
22 de janeiro de 2026 14:00 hs.;Para entregar na coleta do dia 20 de fevereiro;-37,03;-28,45;-28,45;;;274,14;4-ALLEGRA-PT
22 de janeiro de 2026 13:53 hs.;Entregue;-38,52;-28,45;-28,45;;;268,03;4-ALLEGRA-PT
22 de janeiro de 2026 13:44 hs.;A caminho;-75,9;-44,45;-44,45;;;539,65;8-ALLEGRA-PT
22 de janeiro de 2026 13:41 hs.;A caminho;-26,39;-38,94;-38,94;;;176,16;3-CHIFRE-PT
22 de janeiro de 2026 13:40 hs.;Para entregar na coleta do dia 2 de fevereiro;-63,32;;;;;252,64;1-ALLEGRA-PT
22 de janeiro de 2026 13:37 hs.;A caminho;-23,68;-32,83;-32,83;;;149,49;1-ALLEGRA-PT
22 de janeiro de 2026 13:34 hs.;Para entregar na coleta de amanhã;-31,66;;;;;126,32;1-ALLEGRA-PT
22 de janeiro de 2026 13:30 hs.;Para entregar na coleta do dia 29 de janeiro;-38,52;-28,45;-28,45;;;268,03;4-ALLEGRA-PT
22 de janeiro de 2026 13:28 hs.;Para entregar na coleta do dia 3 de fevereiro;-31,66;;;;;126,32;1-ALLEGRA-PT
22 de janeiro de 2026 13:16 hs.;Para entregar na coleta do dia 30 de janeiro;-110,34;-80,85;-80,85;;;804,12;4-ALLEGRA-PT
22 de janeiro de 2026 13:16 hs.;Para entregar na coleta de amanhã;-38,52;-28,45;-28,45;;;268,03;4-ALLEGRA-PT
22 de janeiro de 2026 13:02 hs.;Para entregar na coleta do dia 30 de janeiro;-38,52;-28,45;-28,45;;;268,03;4-ALLEGRA-PT
22 de janeiro de 2026 12:56 hs.;A caminho;-77,04;-44,45;-44,45;;;548,41;6-ALLEGRA-ND
22 de janeiro de 2026 12:30 hs.;Para entregar na coleta do dia 2 de fevereiro;-87,01;-28,45;-28,45;;;671,11;10-ALLEGRA-PT
22 de janeiro de 2026 12:27 hs.;A caminho;-49,34;-28,45;-28,45;;;351,21;4-ALLEGRA-PT
22 de janeiro de 2026 12:23 hs.;A caminho;-22,31;-22,45;-22,45;;;149,24;2-ALLEGRA-PT
22 de janeiro de 2026 12:17 hs.;Para entregar na coleta do dia 29 de janeiro;-38,52;-28,45;-28,45;;;268,03;4-ALLEGRA-PT
22 de janeiro de 2026 12:16 hs.;A caminho;-38,52;-28,45;-28,45;;;268,03;4-ALLEGRA-PT
22 de janeiro de 2026 12:10 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
22 de janeiro de 2026 11:56 hs.;Para entregar na coleta do dia 30 de janeiro;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
22 de janeiro de 2026 11:40 hs.;A caminho;-38,52;-28,45;-28,45;;;268,03;4-ALLEGRA-PT
22 de janeiro de 2026 11:31 hs.;Para entregar na coleta de amanhã;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
22 de janeiro de 2026 11:28 hs.;A caminho;-38,52;-28,45;-28,45;;;268,03;4-ALLEGRA-PT
22 de janeiro de 2026 11:20 hs.;A caminho;-12,03;-16,41;-16,41;;;76,21;1-ALLEGRA-PT
22 de janeiro de 2026 11:13 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
22 de janeiro de 2026 11:11 hs.;Para entregar na coleta do dia 2 de fevereiro;-126,64;;;;;505,28;1-ALLEGRA-PT
22 de janeiro de 2026 11:11 hs.;A caminho;-87,01;-28,45;-28,45;;;671,11;10-ALLEGRA-PT
22 de janeiro de 2026 11:03 hs.;Para entregar na coleta do dia 4 de fevereiro;-71,04;-98,49;-98,49;;;448,47;1-ALLEGRA-PT
22 de janeiro de 2026 11:00 hs.;A caminho;-87,01;-28,45;-28,45;;;671,11;10-ALLEGRA-PT
22 de janeiro de 2026 10:54 hs.;Para entregar na coleta do dia 30 de janeiro;-91,2;-28,45;-28,45;;;711,84;10-ALLEGRA-PT
22 de janeiro de 2026 10:51 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
22 de janeiro de 2026 10:45 hs.;Entregue;-31,66;;;;;126,32;1-ALLEGRA-PT
22 de janeiro de 2026 10:27 hs.;Para entregar na coleta do dia 29 de janeiro;-23,68;-32,83;-32,83;;;149,49;1-ALLEGRA-PT
22 de janeiro de 2026 10:23 hs.;Para entregar na coleta do dia 2 de fevereiro;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
22 de janeiro de 2026 10:10 hs.;Pacote não entregue;-15,83;-12,99;-12,99;;;63,16;1-ALLEGRA-PT
22 de janeiro de 2026 10:08 hs.;Para entregar na coleta do dia 2 de fevereiro;-20,49;-22,45;-22,45;;;142,25;2-ALLEGRA-PT
22 de janeiro de 2026 10:04 hs.;Para entregar na coleta do dia 3 de fevereiro;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
22 de janeiro de 2026 10:03 hs.;Para entregar na coleta do dia 4 de fevereiro;-31,66;;;;;126,32;1-ALLEGRA-PT
22 de janeiro de 2026 09:48 hs.;A caminho;-61,08;-28,45;-28,45;;;441,62;8-CHIFRE-PT
22 de janeiro de 2026 09:44 hs.;Entregue;-40,36;-28,45;-28,45;;;282,19;4-ALLEGRA-PT
22 de janeiro de 2026 09:44 hs.;Entregue;-31,66;;;;;126,32;1-ALLEGRA-PT
22 de janeiro de 2026 08:37 hs.;Entregue;-40,36;-28,45;-28,45;;;282,19;4-ALLEGRA-PT
22 de janeiro de 2026 08:31 hs.;A caminho;-21,51;-22,45;-22,45;;;143,1;2-ALLEGRA-PT
22 de janeiro de 2026 08:24 hs.;A caminho;-57,38;-28,45;-28,45;;;413,17;4-ALLEGRA-ND
22 de janeiro de 2026 08:16 hs.;A caminho;-13,64;;;;;46,26;1-CREATINA-300G
22 de janeiro de 2026 08:15 hs.;A caminho;-91,2;-28,45;-28,45;;;711,84;10-ALLEGRA-PT
22 de janeiro de 2026 07:44 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
22 de janeiro de 2026 07:39 hs.;A caminho;-18,25;-16,41;-16,41;;;75,97;1-ALLEGRA-PT
22 de janeiro de 2026 07:39 hs.;A caminho;-63,32;;;;;252,64;1-ALLEGRA-PT
22 de janeiro de 2026 07:08 hs.;A caminho;-49,34;-28,45;-28,45;;;351,21;4-ALLEGRA-PT-RESERVA
22 de janeiro de 2026 07:05 hs.;A caminho;-49,34;-28,45;-28,45;;;351,21;4-ALLEGRA-PT-RESERVA
22 de janeiro de 2026 07:01 hs.;Para entregar na coleta de amanhã;-31,66;;;;;126,32;1-ALLEGRA-PT
22 de janeiro de 2026 06:09 hs.;A caminho;-63,32;;;;;252,64;1-ALLEGRA-PT
22 de janeiro de 2026 04:19 hs.;A caminho;-87,01;-28,45;-28,45;;;671,11;10-ALLEGRA-PT
22 de janeiro de 2026 02:09 hs.;Entregue;-13,28;-14,07;-14,07;;;57,49;10-CXO005
22 de janeiro de 2026 02:08 hs.;Etiqueta pronta para imprimir;-63,32;;;;;252,64;1-ALLEGRA-PT
22 de janeiro de 2026 00:08 hs.;Cancelada pelo comprador;-36,78;-26,95;-26,95;;-268,04;0;4-ALLEGRA-PT
22 de janeiro de 2026 00:06 hs.;A caminho;-47,49;;;;;189,48;1-ALLEGRA-PT
21 de janeiro de 2026 23:59 hs.;Para entregar na coleta do dia 10 de fevereiro;-94,98;;;;;378,96;1-ALLEGRA-PT
21 de janeiro de 2026 23:20 hs.;Para entregar na coleta de amanhã;-31,66;;;;;126,32;1-ALLEGRA-PT
21 de janeiro de 2026 23:14 hs.;Para entregar na coleta do dia 29 de janeiro;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
21 de janeiro de 2026 23:09 hs.;A caminho;-63,32;;;;;252,64;1-ALLEGRA-PT
21 de janeiro de 2026 23:06 hs.;A caminho;-25,32;-61,94;-61,94;;;169,93;2-ALLEGRA-PT
21 de janeiro de 2026 22:57 hs.;Entregue;-87,01;-28,45;-28,45;;;671,11;10-ALLEGRA-PT
21 de janeiro de 2026 22:48 hs.;A caminho;-25,32;-24,95;-24,95;;;169,93;2-ALLEGRA-PT
21 de janeiro de 2026 22:44 hs.;A caminho;-40,36;-28,45;-28,45;;;282,19;4-ALLEGRA-PT
21 de janeiro de 2026 22:38 hs.;Para entregar na coleta de amanhã;-15,83;;;;;63,16;1-ALLEGRA-PT
21 de janeiro de 2026 22:33 hs.;Para entregar na coleta do dia 29 de janeiro;-15,83;;;;;63,16;1-ALLEGRA-PT
21 de janeiro de 2026 22:29 hs.;Entregue;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
21 de janeiro de 2026 22:20 hs.;A caminho;-87,01;-28,45;-28,45;;;671,11;10-ALLEGRA-PT
21 de janeiro de 2026 22:19 hs.;Para entregar na coleta do dia 30 de janeiro;-87,01;-28,45;-28,45;;;671,11;10-ALLEGRA-PT
21 de janeiro de 2026 22:13 hs.;Para entregar na coleta do dia 2 de fevereiro;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
21 de janeiro de 2026 22:10 hs.;A caminho;-11,84;-16,41;-16,41;;;74,74;1-ALLEGRA-PT
21 de janeiro de 2026 22:08 hs.;Etiqueta pronta para imprimir;-15,83;;;;;63,16;1-ALLEGRA-PT
21 de janeiro de 2026 22:05 hs.;A caminho;-40,36;-28,45;-28,45;;;282,19;4-ALLEGRA-PT
21 de janeiro de 2026 22:01 hs.;Entregue;-87,01;-28,45;-28,45;;;671,11;10-ALLEGRA-PT
21 de janeiro de 2026 21:50 hs.;Para entregar na coleta do dia 11 de fevereiro;-75,9;-44,45;-44,45;;;539,65;8-ALLEGRA-PT
21 de janeiro de 2026 21:46 hs.;A caminho;-15,83;;;;;63,16;1-ALLEGRA-PT
21 de janeiro de 2026 21:35 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
21 de janeiro de 2026 21:32 hs.;Entregue;-31,66;;;;;126,32;1-ALLEGRA-PT
21 de janeiro de 2026 21:20 hs.;Para entregar na coleta do dia 10 de fevereiro;-61,08;-28,45;-28,45;;;441,62;8-CHIFRE-PT
21 de janeiro de 2026 21:14 hs.;Para entregar na coleta do dia 11 de fevereiro;-88,48;-220,44;-220,44;;;560,46;6-ALLEGRA-ND
21 de janeiro de 2026 21:09 hs.;Para entregar na coleta do dia 30 de janeiro;-15,83;;;;;63,16;1-ALLEGRA-PT
21 de janeiro de 2026 21:04 hs.;Para entregar na coleta do dia 6 de fevereiro;-57,9;-44,45;-44,45;;;401,09;6-ALLEGRA-PT
21 de janeiro de 2026 21:03 hs.;Para entregar na coleta do dia 11 de fevereiro;-348,04;-113,8;-113,8;;;2684,44;10-ALLEGRA-PT
21 de janeiro de 2026 21:02 hs.;A caminho;-63,32;;;;;252,64;1-ALLEGRA-PT
21 de janeiro de 2026 21:01 hs.;Para entregar na coleta de amanhã;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
21 de janeiro de 2026 20:47 hs.;A caminho;-23,68;-32,83;-32,83;;;149,49;1-ALLEGRA-PT
21 de janeiro de 2026 20:20 hs.;Para entregar na coleta do dia 2 de fevereiro;-47,49;;;;;189,48;1-ALLEGRA-PT
21 de janeiro de 2026 20:16 hs.;Para entregar na coleta de amanhã;-15,83;;;;;63,16;1-ALLEGRA-PT
21 de janeiro de 2026 20:03 hs.;Para entregar na coleta do dia 3 de fevereiro;-158,3;;;;;631,6;1-ALLEGRA-PT
