Data da venda;Estado;Tarifa de venda e impostos (BRL);Tarifas de envio (BRL);Custo de envio com base nas medidas e peso declarados;Custo por diferenças nas medidas e no peso do pacote;Cancelamentos e reembolsos (BRL);Total (BRL);SKU
25 de janeiro de 2026 09:11 hs.;Para entregar na coleta do dia 4 de fevereiro;-48,07;-26,95;-26,95;;;368,04;4-ALLEGRA-ND
25 de janeiro de 2026 09:11 hs.;A caminho;-46,46;-49,9;-49,9;;;307,68;2-GRUVYER-PT
25 de janeiro de 2026 09:10 hs.;Para entregar na coleta do dia 30 de janeiro;-64,51;-156,94;-156,94;;;394,53;4-ALLEGRA-ND
25 de janeiro de 2026 09:09 hs.;Para entregar na coleta do dia 30 de janeiro;-73,56;-53,9;-53,9;;;536,08;4-ALLEGRA-PT
25 de janeiro de 2026 09:07 hs.;Etiqueta pronta para imprimir;-15,83;;;;;63,16;1-ALLEGRA-PT
25 de janeiro de 2026 09:06 hs.;Para entregar na coleta do dia 30 de janeiro;-94,98;;;;;378,96;1-ALLEGRA-PT
25 de janeiro de 2026 09:00 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
25 de janeiro de 2026 09:00 hs.;Para entregar na coleta do dia 29 de janeiro;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
25 de janeiro de 2026 08:59 hs.;Para entregar na coleta do dia 2 de fevereiro;-77,04;-44,45;-44,45;;;548,41;6-ALLEGRA-ND
25 de janeiro de 2026 08:41 hs.;A caminho;-31,66;;;;;126,32;1-ALLEGRA-PT
25 de janeiro de 2026 08:30 hs.;Etiqueta pronta para imprimir;-15,83;;;;;63,16;1-ALLEGRA-PT
25 de janeiro de 2026 07:38 hs.;A caminho;-37,6;-28,45;-28,45;;;260,95;4-ALLEGRA-PT
25 de janeiro de 2026 07:34 hs.;A caminho;-31,66;;;;;126,32;1-ALLEGRA-PT
25 de janeiro de 2026 07:14 hs.;Para entregar na coleta de amanhã;-37,6;-28,45;-28,45;;;260,95;4-ALLEGRA-PT
25 de janeiro de 2026 06:59 hs.;Venda cancelada. Não envie.;-36,78;-26,95;-26,95;;-268,04;0;4-ALLEGRA-PT
25 de janeiro de 2026 06:12 hs.;Para entregar na coleta do dia 2 de fevereiro;-41,58;-44,91;-44,91;;;286,21;2-GRUVYER-PT
25 de janeiro de 2026 04:37 hs.;Etiqueta pronta para imprimir;-15,83;;;;;63,16;1-ALLEGRA-PT
25 de janeiro de 2026 03:23 hs.;A caminho;-11,84;-16,41;-16,41;;;74,74;1-ALLEGRA-PT
25 de janeiro de 2026 02:24 hs.;Para entregar na coleta do dia 11 de fevereiro;-15,83;;;;;63,16;1-ALLEGRA-PT
25 de janeiro de 2026 02:08 hs.;Para entregar na coleta do dia 30 de janeiro;-73,56;-53,9;-53,9;;;536,08;4-ALLEGRA-PT
25 de janeiro de 2026 01:43 hs.;Para entregar na coleta de amanhã;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
25 de janeiro de 2026 00:57 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
25 de janeiro de 2026 00:56 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
25 de janeiro de 2026 00:52 hs.;Para entregar na coleta do dia 30 de janeiro;-20,79;-22,45;-22,45;;;143,11;2-GRUVYER-PT
25 de janeiro de 2026 00:25 hs.;Para entregar na coleta do dia 5 de fevereiro;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
25 de janeiro de 2026 00:20 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
25 de janeiro de 2026 00:17 hs.;Para entregar na coleta de amanhã;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
25 de janeiro de 2026 00:09 hs.;Para entregar na coleta do dia 6 de fevereiro;-31,66;;;;;126,32;1-ALLEGRA-PT
24 de janeiro de 2026 23:57 hs.;A caminho;-15,83;;;;;63,16;1-ALLEGRA-PT
24 de janeiro de 2026 23:49 hs.;Etiqueta pronta para imprimir;-73,56;-53,9;-53,9;;;536,08;4-ALLEGRA-PT
24 de janeiro de 2026 23:35 hs.;Para entregar na coleta do dia 29 de janeiro;-15,83;;;;;63,16;1-ALLEGRA-PT
24 de janeiro de 2026 23:34 hs.;Para entregar na coleta do dia 5 de fevereiro;-31,66;;;;;126,32;1-ALLEGRA-PT
24 de janeiro de 2026 23:33 hs.;Para entregar na coleta do dia 29 de janeiro;-15,83;;;;;63,16;1-ALLEGRA-PT
24 de janeiro de 2026 23:18 hs.;A caminho;-22,88;-22,45;-22,45;;;153,67;2-GRUVYER-PT
24 de janeiro de 2026 23:00 hs.;A caminho;-11,81;-16,41;-16,41;;;74,47;1-ALLEGRA-PT
24 de janeiro de 2026 22:51 hs.;Para entregar na coleta do dia 29 de janeiro;-47,53;-101,95;-101,95;;;286,12;4-CHIFRE-PT
24 de janeiro de 2026 22:47 hs.;Venda cancelada. Não envie.;-38,64;-28,45;-28,45;;-268,91;0;4-ALLEGRA-PT
24 de janeiro de 2026 22:46 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 22:39 hs.;A caminho;-12,25;-17,46;-17,46;;;78,56;15-PL021-BR
24 de janeiro de 2026 22:30 hs.;Para entregar na coleta do dia 2 de fevereiro;-37,6;-28,45;-28,45;;;260,95;4-ALLEGRA-PT
24 de janeiro de 2026 22:28 hs.;Para entregar na coleta do dia 30 de janeiro;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 22:19 hs.;Para entregar na coleta do dia 3 de fevereiro;-31,66;;;;;126,32;1-ALLEGRA-PT
24 de janeiro de 2026 22:10 hs.;A caminho;-15,83;;;;;63,16;1-ALLEGRA-PT
24 de janeiro de 2026 22:09 hs.;A caminho;-15,83;;;;;63,16;1-ALLEGRA-PT
24 de janeiro de 2026 22:08 hs.;Etiqueta pronta para imprimir;-20,79;-22,45;-22,45;;;143,11;2-GRUVYER-PT
24 de janeiro de 2026 22:07 hs.;Para entregar na coleta do dia 30 de janeiro;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 22:02 hs.;Para entregar na coleta do dia 30 de janeiro;-31,66;-3,99;-3,99;;;126,32;1-ALLEGRA-PT
24 de janeiro de 2026 21:59 hs.;Para entregar na coleta do dia 2 de fevereiro;-58,19;-44,45;-44,45;;;403,36;6-ALLEGRA-PT
24 de janeiro de 2026 21:38 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 21:38 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 21:24 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 21:21 hs.;Venda cancelada. Não envie.;-126,64;;;;-505,28;0;1-ALLEGRA-PT
24 de janeiro de 2026 21:20 hs.;A caminho;-55,66;-28,45;-28,45;;;414,89;4-ALLEGRA-ND
24 de janeiro de 2026 21:19 hs.;Para entregar na coleta de amanhã;-20,79;-22,45;-22,45;;;143,11;2-GRUVYER-PT
24 de janeiro de 2026 21:17 hs.;A caminho;-38,64;-28,45;-28,45;;;268,91;4-ALLEGRA-PT
24 de janeiro de 2026 21:17 hs.;Etiqueta pronta para imprimir;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 21:16 hs.;Etiqueta pronta para imprimir;-37,03;-28,45;-28,45;;;274,14;4-ALLEGRA-PT
24 de janeiro de 2026 21:13 hs.;A caminho;-55,89;-23,45;-23,45;;;406,66;6-ALLEGRA-PT
24 de janeiro de 2026 21:11 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 21:02 hs.;Para entregar na coleta do dia 29 de janeiro;-55,66;-28,45;-28,45;;;414,89;4-ALLEGRA-ND
24 de janeiro de 2026 21:02 hs.;Para entregar na coleta do dia 30 de janeiro;-158,3;;;;;631,6;1-ALLEGRA-PT
24 de janeiro de 2026 21:00 hs.;Entregue;-19,8;-17,46;-17,46;;;82,73;25-PL027-MR
24 de janeiro de 2026 20:55 hs.;Para entregar na coleta do dia 30 de janeiro;-75,9;-44,45;-44,45;;;539,65;8-ALLEGRA-PT
24 de janeiro de 2026 20:51 hs.;Para entregar na coleta do dia 4 de fevereiro;-63,32;;;;;252,64;1-ALLEGRA-PT
24 de janeiro de 2026 20:50 hs.;A caminho;-37,6;-28,45;-28,45;;;260,95;4-ALLEGRA-PT
24 de janeiro de 2026 20:49 hs.;Etiqueta pronta para imprimir;-73,56;-53,9;-53,9;;;536,08;4-ALLEGRA-PT
24 de janeiro de 2026 20:44 hs.;Para entregar na coleta do dia 30 de janeiro;-15,83;;;;;63,16;1-ALLEGRA-PT
24 de janeiro de 2026 20:43 hs.;Para entregar na coleta de amanhã;-87,01;-207,94;-207,94;;;573,61;10-ALLEGRA-PT
24 de janeiro de 2026 20:22 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 20:18 hs.;Para entregar na coleta do dia 2 de fevereiro;-66,7;-28,45;-28,45;;;484,81;8-CHIFRE-PT
24 de janeiro de 2026 20:16 hs.;Para entregar na coleta do dia 29 de janeiro;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 20:15 hs.;Etiqueta pronta para imprimir;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 20:14 hs.;A caminho;-55,66;-28,45;-28,45;;;414,89;4-ALLEGRA-ND
24 de janeiro de 2026 20:13 hs.;Para entregar na coleta do dia 2 de fevereiro;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 20:10 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 20:07 hs.;Etiqueta pronta para imprimir;-15,83;;;;;63,16;1-ALLEGRA-PT
24 de janeiro de 2026 19:51 hs.;Para entregar na coleta do dia 2 de fevereiro;-66,7;-28,45;-28,45;;;484,81;8-CHIFRE-PT
24 de janeiro de 2026 19:43 hs.;Para entregar na coleta do dia 29 de janeiro;-55,89;-23,45;-23,45;;;406,66;6-ALLEGRA-PT
24 de janeiro de 2026 19:30 hs.;A caminho;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 19:27 hs.;Para entregar na coleta do dia 29 de janeiro;-36,78;-26,95;-26,95;;;268,04;4-ALLEGRA-PT
24 de janeiro de 2026 19:20 hs.;Para entregar na coleta do dia 3 de fevereiro;-69;-28,45;-28,45;;;502,54;4-ALLEGRA-ND
24 de janeiro de 2026 19:20 hs.;Etiqueta pronta para imprimir;-55,66;-28,45;-28,45;;;414,89;4-ALLEGRA-ND
