vendas;;;;Anuncios;;Envios;
Numero da Venda;Data da Venda;Estado Atual;Quantidade por SKU;SKU;Loja Oficial;Data a Caminho;Data de Entrega
2000011248763729;27 de janeiro de 2026 15:49 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011248737735;27 de janeiro de 2026 15:47 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011248709861;27 de janeiro de 2026 15:46 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011248610845;27 de janeiro de 2026 15:41 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011248608847;27 de janeiro de 2026 15:41 hs.;Para entregar na coleta do dia 6 de fevereiro;1;10-ALLEGRA-PT;Dom Stark; ; 
2000011248592261;27 de janeiro de 2026 15:39 hs.;Pronto para coleta;3;1-CREATINA-300G;Dom Stark; ; 
2000011248559461;27 de janeiro de 2026 15:38 hs.;Pronto para coleta;2;1-CREATINA-300G;Dom Stark; ; 
2000011248553249;27 de janeiro de 2026 15:36 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000014888350864;27 de janeiro de 2026 15:33 hs.;Venda cancelada. Não envie.;1;1-CREATINA-300G;Dom Stark; ; 
2000011248470327;27 de janeiro de 2026 15:32 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
2000014888322772;27 de janeiro de 2026 15:31 hs.;Pronto para coleta;1;4-ALLEGRA-PT;Dom Stark; ; 
2000014888289120;27 de janeiro de 2026 15:30 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011248425689;27 de janeiro de 2026 15:29 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011248247505;27 de janeiro de 2026 15:20 hs.;Para entregar na coleta do dia 30 de janeiro;1;6-ALLEGRA-PT;Dom Stark; ; 
2000011248127237;27 de janeiro de 2026 15:15 hs.;Pronto para coleta;2;1-ALLEGRA-PT;Dom Stark; ; 
2000011248140445;27 de janeiro de 2026 15:13 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011248122565;27 de janeiro de 2026 15:13 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011248118863;27 de janeiro de 2026 15:12 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011248069745;27 de janeiro de 2026 15:11 hs.;Pronto para coleta;1;4-ALLEGRA-PT;Dom Stark; ; 
2000011248097669;27 de janeiro de 2026 15:10 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011248091221;27 de janeiro de 2026 15:10 hs.;Pronto para coleta;3;1-CREATINA-300G;Dom Stark; ; 
2000011248019835;27 de janeiro de 2026 15:07 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011247985537;27 de janeiro de 2026 15:04 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
2000011247951013;27 de janeiro de 2026 15:04 hs.;Pronta para emitir NF-e de venda;1;1-CREATINA-300G;Dom Stark; ; 
2000011247942307;27 de janeiro de 2026 15:02 hs.;Pronto para coleta;1;1-CREATINA-300G;Dom Stark; ; 
2000011247902495;27 de janeiro de 2026 15:00 hs.;Para entregar na coleta do dia 30 de janeiro;1;1-CREATINA-300G;Dom Stark; ; 
